Implementation,Platform,Architecture,Filename,Samples,Bounces,Rays,Triangles,Spheres,Scene Loading(ms),Encoding(ms),Raytracing(ms),Total Duration (ms),Git Hash
OpenMPRaytracer,Darwin,arm64,scene/scene_atmosphere.json,4,6,3686400,959,2,0,1215,46059,48133,520e38d3183e483d67d0c95bfe8b723a610fa20c
SequentialRayTracer,Darwin,arm64,scene/scene_atmosphere.json,4,8,3686400,959,2,0,1223,471023,473070,520e38d3183e483d67d0c95bfe8b723a610fa20c
MetalRayTracer,Darwin,arm64,scene/scene_atmosphere.json,4,8,3686400,959,2,0,1262,73,1829,520e38d3183e483d67d0c95bfe8b723a610fa20c
OpenMPRaytracer,Darwin,arm64,scene/scene_atmosphere.json,4,8,3686400,959,2,0,1197,46245,48300,520e38d3183e483d67d0c95bfe8b723a610fa20c
SequentialRayTracer,Darwin,arm64,scene/scene_atmosphere.json,4,10,3686400,959,2,0,1233,471351,473410,520e38d3183e483d67d0c95bfe8b723a610fa20c
MetalRayTracer,Darwin,arm64,scene/scene_atmosphere.json,4,10,3686400,959,2,0,1278,74,1852,520e38d3183e483d67d0c95bfe8b723a610fa20c
OpenMPRaytracer,Darwin,arm64,scene/scene_atmosphere.json,4,10,3686400,959,2,0,1196,46063,48122,520e38d3183e483d67d0c95bfe8b723a610fa20c
SequentialRayTracer,Darwin,arm64,scene/scene_atmosphere.json,6,1,5529600,959,2,0,1965,680036,683159,520e38d3183e483d67d0c95bfe8b723a610fa20c
MetalRayTracer,Darwin,arm64,scene/scene_atmosphere.json,6,1,5529600,959,2,0,1999,104,2850,520e38d3183e483d67d0c95bfe8b723a610fa20c
OpenMPRaytracer,Darwin,arm64,scene/scene_atmosphere.json,6,1,5529600,959,2,0,1934,66309,69456,520e38d3183e483d67d0c95bfe8b723a610fa20c
SequentialRayTracer,Darwin,arm64,scene/scene_atmosphere.json,6,2,5529600,959,2,0,1982,703672,706949,520e38d3183e483d67d0c95bfe8b723a610fa20c
MetalRayTracer,Darwin,arm64,scene/scene_atmosphere.json,6,2,5529600,959,2,0,2048,104,2878,520e38d3183e483d67d0c95bfe8b723a610fa20c
OpenMPRaytracer,Darwin,arm64,scene/scene_atmosphere.json,6,2,5529600,959,2,0,1935,71829,75007,520e38d3183e483d67d0c95bfe8b723a610fa20c
